Pessoas;dist1km;dist2km;dist3km
P1;5;5;5
P2;5;3;1
P3;1;1;5
P4;5;2;5
P5;5;5;3
P6;4;5;5
P7;5;5;4
P8;5;2;3
P9;1;3;5
P10;5;3;4
P11;5;4;5
P12;4;5;5
P13;0;5;5
P14;0;5;5
P15;0;3;3
P16;0;5;5
P17;0;5;5
P18;0;5;3
P19;0;3;3
P20;0;1;2
P21;0;5;5
P22;0;2;3
P23;0;5;5
P24;0;3;3
P25;0;5;5
P26;0;4;5
P27;0;2;5
P28;0;3;5
P29;0;1;5
P30;0;5;5
P31;0;3;0
P32;0;2;0
P33;0;5;0
P34;0;3;0
P35;0;2;0
P36;0;1;0
P37;0;3;0
P38;0;3;0
P39;0;5;0
P40;0;3;0
P41;0;3;0
P42;0;5;0
P43;0;3;0
P44;0;3;0
P45;0;5;0
P46;0;3;0
P47;0;3;0
P48;0;3;0
P49;0;3;0
P50;0;1;0
P51;0;3;0
P52;0;3;0
P53;0;5;0
P54;0;3;0
P55;0;1;0
P56;0;3;0
P57;0;5;0
P58;0;3;0
P59;0;3;0
P60;0;3;0
P61;0;3;0
P62;0;3;0
P63;0;2;0
P64;0;1;0
P65;0;5;0
P66;0;3;0
